item,scope,committed_result,scientific_meaning,mandatory_limitation,canonical_source
ratio_recalculation_ocf_to_assets_period_adjusted,upstream_source_panel,checked=1273; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.ocf_to_assets_period_adjusted
ratio_recalculation_financial_expense_to_assets_period_adjusted,upstream_source_panel,checked=1311; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.financial_expense_to_assets_period_adjusted
ratio_recalculation_asset_turnover_period_adjusted,upstream_source_panel,checked=1312; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.asset_turnover_period_adjusted
target_state_positive,stage122_target_qc,98,Firm-years meeting the composite operational distress definition.,"Operational composite, not a legal insolvency event.",project/stage122/stage122_qc_report.json :: target_counts.1
target_state_negative,stage122_target_qc,1205,Firm-years for which every evaluable criterion was definitely negative.,"Operational composite, not a legal insolvency event.",project/stage122/stage122_qc_report.json :: target_counts.0
target_state_unknown,stage122_target_qc,28,Firm-years whose evidence did not permit a determination.,"Unknown rows are excluded from target-specific analyses, not reclassified.",project/stage122/stage122_qc_report.json :: target_counts.missing
unknown_target_never_converted_to_negative,stage122_target_qc,true,Missing outcome evidence was never recorded as a healthy firm-year.,Preserving unknowns reduces the analysable sample.,project/stage122/stage122_qc_report.json :: assertions.no_missing_target_converted_to_zero
rows_preserved_through_target_qc,stage122_target_qc,1331 -> 1331,No row was silently dropped while the outcome was constructed.,Preservation is not eligibility; exclusions are recorded separately.,"project/stage122/stage122_qc_report.json :: rows_before, rows_after, assertions.rows_preserved"
eligibility_counts,stage122_target_qc,"{""eligible_accounting_quality"": 1331, ""eligible_annual_period"": 1325, ""eligible_listing"": 1312, ""eligible_nonfinancial"": 1288, ""eligible_source_quality"": 1303, ""eligible_statement_type"": 1236, ""eligible_target"": 1303, ""final_model_eligible"": 1170}",Each eligibility dimension is counted explicitly.,Eligibility is recorded per dimension; the counts are not additive.,project/stage122/stage122_qc_report.json :: eligibility_counts
exclusion_reason_counts_row,stage122_target_qc,"{""consolidated_or_unresolved_statement"": 95, ""financial_industry"": 43, ""non_12_month_period"": 6, ""pre_listing"": 19, ""source_not_traceable"": 28, ""unresolved_target"": 28}",Every exclusion carries an explicit recorded reason.,A row may satisfy more than one exclusion reason.,project/stage122/stage122_qc_report.json :: exclusion_reason_counts_row
source_file_provenance_present,stage122_target_qc,1303,Rows for which a source file is recorded.,"File-level provenance only, and it does not cover every row.",project/stage122/stage122_qc_report.json :: eligibility_counts.eligible_source_quality; reconciled with project/stage125/README_STAGE125_PART1_DATA_CONTRACT.md
source_file_provenance_absent,stage122_target_qc,28,Rows without a recorded source file.,These rows are a documented provenance gap and are not concealed.,project/stage122/stage122_qc_report.json :: exclusion_reason_counts_row.source_not_traceable; reconciled with project/stage125/README_STAGE125_PART1_DATA_CONTRACT.md
row_level_publication_timestamps,prespecified_analysis_plan,row_level_publish_datetime_collection_required=false,Row-level publication timestamps were never collected for this panel.,No filing date was verified for any individual company-year.,project/stage125/part4_statistical_analysis_plan_stage125.json :: row_level_publish_datetime_collection_required
availability_rule,prespecified_analysis_plan,lag_months=4; method=fixed_regulatory_lag,Predictor admission uses a prespecified fixed regulatory lag.,"A prespecified proxy for availability, not an observed filing date.","project/stage125/part4_statistical_analysis_plan_stage125.json :: active_availability_lag_months, active_availability_method"
one_year_ahead_pairs_total,model_eligible_pairs,1200,Company-year pairs constructible for one-year-ahead prediction.,"Pairs, not panel rows; the two counts are not interchangeable.",project/stage122/stage122_qc_report.json :: pairs_total
one_year_ahead_pairs_final_eligible,model_eligible_pairs,1054,Pairs surviving every recorded eligibility rule.,Eligibility here precedes the temporal split and the availability filter.,project/stage122/stage122_qc_report.json :: pairs_final_eligible
development_fit_set_rows,development_fit_set,666,Rows the locked model was fitted on.,A development population; it is neither the panel nor the Final Test cohort.,project/stage129/full_development_refit_execution/stage129_full_development_refit_model.json :: fit_set.rows
final_test_evaluable_rows,final_test_cohort,346,Rows in the single-pass held-out evaluation.,Opened exactly once; only 12 of these rows are positive.,project/stage129/final_test_execution/stage129_final_test_metrics.json :: evaluable_rows
