variable_name,block,role,data_type,unit,temporal_reference,source_id,provenance_status,description
roa_period_adjusted,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
roe_period_adjusted,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
equity_ratio,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
debt_to_equity,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
profit_margin_period_adjusted,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
asset_turnover_period_adjusted,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
accumulated_loss_to_capital_ratio,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
FD_target_main,M1,target,categorical,,target_t_plus_1,src_m1_stage122_target,in_use_frozen,Composite operational-distress target (frozen Stage122).
FD_target_article141_only,M1,target,categorical,,target_t_plus_1,src_m1_stage122_target,in_use_frozen,Article-141 robustness target (frozen).
FD_target_persistent_loss_robustness,M1,target,categorical,,target_t_plus_1,src_m1_stage122_target,in_use_frozen,Persistent-loss robustness target (frozen).
equity_return_window,M2,candidate_feature,numeric,return_ratio,market_window_closing_before_cutoff,src_m2_tsetmc_market,planned,Point-in-time equity return/momentum; window closes before prediction cutoff.
realized_volatility,M2,candidate_feature,numeric,volatility,market_window_closing_before_cutoff,src_m2_tsetmc_market,planned,Realized volatility over a pre-cutoff window.
amihud_illiquidity,M2,candidate_feature,numeric,illiquidity,market_window_closing_before_cutoff,src_m2_tsetmc_market,planned,Amihud illiquidity; computable liquidity measure.
cpi_inflation,M3,candidate_feature,numeric,percent,macro_series_pre_cutoff,src_m3_cbi_macro,planned,CPI / official inflation; only if publication date and coverage reliable.
fx_change_official,M3,candidate_feature,numeric,percent,macro_series_pre_cutoff,src_m3_cbi_macro,planned,FX change from an official source that passes the data Gate.
policy_financing_rate,M3,candidate_feature,numeric,percent,macro_series_pre_cutoff,src_m3_cbi_macro,planned,Policy / financing rate; parsimonious macro set only.
audit_opinion_type,M4,candidate_feature,categorical,,publication,src_m4_codal_audit,planned,"Audit opinion type as a structured, auditable label (Gated individually)."
going_concern_flag,M4,candidate_feature,boolean,,publication,src_m4_codal_audit,planned,Going-concern / material-uncertainty clause as a structured label.
audit_lag_days,M4,candidate_feature,integer,days,publication,src_m4_codal_audit,planned,Days between period end and audit report; Gated individually.
board_size,M4,candidate_feature,integer,count,publication,src_m4_codal_governance,planned,Board size; only if definition/coverage are auditable.
