column_name,definition,data_type,unit,column_role,model_eligibility,source_block,source_provider_or_author_derived,temporal_reference,missing_value_semantics,derivation_or_formula,authoritative_source_path,authoritative_source_field_or_section,definition_status,limitations
company_name,Company name attached to the predictor company-year row.,string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_upstream_source_panel,provider_CODAL_label_compiled_by_the_authors,point_in_time_company_year,"Recorded as a provenance gap where absent: the Stage125 dictionary records 7 missing rows in the upstream panel, not imputed. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Copied byte-for-byte from the frozen Gate B pair row; the Part 3C builder copies this column and never recomputes it.,project/stage125/data_dictionary_stage125.csv,"row variable_name=company_name (block M1, provenance_status in_use_partial_gap)",committed_dictionary,"A display label, not a key. Join on `ticker` or on the row keys, never on the name."
fiscal_year_t,Jalali fiscal year of the PREDICTOR row of the pair — the year whose statement supplies every predictor value.,integer,jalali_year,identifier,identifier_not_a_predictor_feature,M1_derived_stage123_pair_construction,author_assigned_key_or_label,predictor_fiscal_year_t,Never missing: the Part 3C builder parses it as an integer and aborts if it is unparseable or disagrees with the joined predictor row.,Stage123 pair construction sets fiscal_year_t = the predictor row's Jalali fiscal_year.,project/src/stage123.py,build_pairs123() :: rows.append({'fiscal_year_t': r.year}),frozen_generator_code,Jalali years 1392-1402 only. No Gregorian span is claimed for the sample.
industry,"Industry classification label of the predictor company-year row, as recorded in the upstream panel.",string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_upstream_source_panel,provider_CODAL_label_compiled_by_the_authors,point_in_time_company_year,"Recorded as a provenance gap where absent: the Stage125 dictionary records 29 missing rows in the upstream panel, not imputed. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/stage125/data_dictionary_stage125.csv,"row variable_name=industry (block M1, provenance_status in_use_partial_gap)",committed_dictionary,"Free-text sector label; the Stage121 dictionary defers any encoding decision to modeling. Financial-industry firms are excluded from the main sample by an explicit, version-controlled company mapping, not by matching this text."
predictor_row_key_t,"Stage123 row key of the predictor company-year row, used to join the pair to the frozen panel.",string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_derived_stage123_pair_construction,author_assigned_key_or_label,predictor_fiscal_year_t,Never missing: Part 3C requires exactly one Stage123 match per key and aborts on a missing or duplicated join.,predictor_row_key_t == stage123.row_key; exactly one match. The row key itself is ticker + fiscal_year.,project/stage125/part3c_leakage_safe_dataset_contract_stage125.json,predictor_join_rule,committed_contract,An internal project key. It is not a provider identifier and resolves to nothing outside this dataset.
row_key_predictor,"The predictor row's own Stage123 row key as read back from the joined panel row — the join's answer, held next to the join's question in predictor_row_key_t.",string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_derived_stage125_part3c,author_assigned_key_or_label,predictor_fiscal_year_t,Not applicable: the value is populated on every released row because the generator assigns it unconditionally. Nothing was imputed to make that true.,"row['row_key_predictor'] = pred['row_key'], where pred is the single Stage123 row matched by predictor_row_key_t.",project/src/stage125_part3c_leakage_safe_dataset_finalization.py,build_design_rows() :: row['row_key_predictor'] = pred['row_key'],frozen_generator_code,Deliberately redundant with predictor_row_key_t so a broken join is visible in the released file rather than only in the builder. Redundancy is the point; it carries no extra information.
sample_design,"Which of the four locked sample designs the file belongs to: main_rule_a_primary, main_rule_b_listing_robustness, expanded_rule_a_company_scope_robustness or expanded_rule_b_combined_robustness.",categorical,not_applicable,identifier,identifier_not_a_predictor_feature,M1_derived_stage125_part3c,author_derived_from_committed_project_rules,design_constant_within_a_released_file,Not applicable: the value is populated on every released row because the generator assigns it unconditionally. Nothing was imputed to make that true.,"row['sample_design'] = design, set once per released file from the four locked design names.",project/stage125/part3c_leakage_safe_dataset_contract_stage125.json,four_locked_sample_designs,committed_contract,Constant within each released file. Only main_rule_a_primary is the primary surface; the other three are prespecified robustness surfaces and a result quoted from one of them is a robustness result.
target_row_key_t_plus_1,"Stage123 row key of the outcome company-year row (t+1), used for the identity and fiscal-year-end audit of the pair.",string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_derived_stage123_pair_construction,author_assigned_key_or_label,target_fiscal_year_t_plus_1,Never missing: Part 3C requires exactly one Stage123 match per key and aborts on a missing or duplicated join.,target_row_key_t_plus_1 == stage123.row_key; exactly one match; identity/FYE audit only.,project/stage125/part3c_leakage_safe_dataset_contract_stage125.json,target_join_rule,committed_contract,Used for the identity audit and the outcome copy. It is not a predictor and must not be treated as one.
target_year,Jalali fiscal year of the OUTCOME row of the pair; always fiscal_year_t + 1.,integer,jalali_year,identifier,identifier_not_a_predictor_feature,M1_derived_stage123_pair_construction,author_assigned_key_or_label,target_fiscal_year_t_plus_1,Never missing: the Part 3C builder aborts unless target_year == fiscal_year_t + 1 for every row.,Stage123 pair construction sets target_year = fiscal_year_t + 1; Part 3C re-asserts the relation per row.,project/src/stage123.py,build_pairs123() :: rows.append({'target_year': r.year + 1}),frozen_generator_code,One-year-ahead horizon only. The panel supports no other prediction horizon without rebuilding the pair surface.
ticker,Canonical Tehran Stock Exchange / Fara Bourse ticker symbol of the company the company-year pair belongs to.,string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_upstream_source_panel,author_assigned_key_or_label,point_in_time_company_year,"Never missing: the pair surface is keyed on it and the Part 3C builder aborts on a ticker mismatch between the pair, the predictor row and the target row.",Copied from the frozen Gate B pair row; the Part 3C builder cross-checks it against both joined Stage123 rows and raises QCFail on any disagreement.,project/stage125/data_dictionary_stage125.csv,"row variable_name=ticker (block M1, role identifier)",committed_dictionary,Ticker identity only. It is not a company legal identifier and it is not stable against a market-wide re-listing.
unit,Unit of the raw financial-statement amounts recorded for the predictor row.,string,not_applicable,identifier,identifier_not_a_predictor_feature,M1_upstream_source_panel,provider_CODAL_label_compiled_by_the_authors,predictor_fiscal_year_t,"An empty unit makes the row fail eligible_source_quality, so it is recorded rather than filled. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=unit (role metadata),committed_dictionary,Declares the monetary scale of the level columns. It is not a currency conversion and it carries no deflator.
accumulated_loss,"Accumulated loss / retained deficit at fiscal year t, as standardized by the upstream panel.",numeric,million_IRR,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,provider_CODAL_statement_line_item_compiled_by_the_authors,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Statement line item compiled by the authors from the annual separate/parent-company CODAL filing. Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=accumulated_loss :: definition = 'Accumulated loss / retained deficit as standardized',committed_dictionary,"Nominal monetary level. The study period covers years of high inflation in Iran and no deflation, currency conversion or purchasing-power adjustment was applied; the per-row monetary scale is recorded in the `unit` column. Cross-year comparison of nominal levels is the reuser's responsibility."
accumulated_loss_to_capital_ratio,Accumulated loss relative to registered capital at fiscal year t.,numeric,ratio,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,author_compiled_ratio_over_CODAL_line_items,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",accumulated_loss / registered_capital. Supplied as a stored ratio in the upstream panel and copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=accumulated_loss_to_capital_ratio :: definition = 'accumulated_loss / registered_capital',committed_dictionary,"Supplied as a stored ratio in the upstream panel and reconciled by QC as arithmetic agreement with its stored components, not re-audited against the original filing. QC coverage differs by check (1,273-1,312 of 1,331 upstream rows evaluable); zero mismatches among evaluable rows says nothing about rows that could not be evaluated. It is also the quantity the fd_accumulated_loss target criterion thresholds at 0.5, so it sits very close to the outcome; the Part 4 plan removes it from the primary feature set on target-proximity grounds."
asset_turnover_period_adjusted,Period-adjusted revenue relative to total assets at fiscal year t.,numeric,ratio,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,author_compiled_ratio_over_CODAL_line_items,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",revenue_period_adjusted / total_assets. Supplied as a stored ratio in the upstream panel and copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=asset_turnover_period_adjusted :: definition = 'revenue_period_adjusted / total_assets',committed_dictionary,"Supplied as a stored ratio in the upstream panel and reconciled by QC as arithmetic agreement with its stored components, not re-audited against the original filing. QC coverage differs by check (1,273-1,312 of 1,331 upstream rows evaluable); zero mismatches among evaluable rows says nothing about rows that could not be evaluated."
current_assets,Current assets of the company at fiscal year t.,numeric,million_IRR,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,provider_CODAL_statement_line_item_compiled_by_the_authors,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Statement line item compiled by the authors from the annual separate/parent-company CODAL filing. Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=current_assets :: definition = 'Current assets',committed_dictionary,"Nominal monetary level. The study period covers years of high inflation in Iran and no deflation, currency conversion or purchasing-power adjustment was applied; the per-row monetary scale is recorded in the `unit` column. Cross-year comparison of nominal levels is the reuser's responsibility."
current_liabilities,Current liabilities of the company at fiscal year t.,numeric,million_IRR,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,provider_CODAL_statement_line_item_compiled_by_the_authors,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Statement line item compiled by the authors from the annual separate/parent-company CODAL filing. Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=current_liabilities :: definition = 'Current liabilities',committed_dictionary,"Nominal monetary level. The study period covers years of high inflation in Iran and no deflation, currency conversion or purchasing-power adjustment was applied; the per-row monetary scale is recorded in the `unit` column. Cross-year comparison of nominal levels is the reuser's responsibility."
current_ratio,"Liquidity: current assets relative to current liabilities, at fiscal year t.",numeric,ratio,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,author_compiled_ratio_over_CODAL_line_items,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",current_assets / current_liabilities. Supplied as a stored ratio in the upstream panel and copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=current_ratio :: definition = 'current_assets / current_liabilities',committed_dictionary,"Supplied as a stored ratio in the upstream panel and reconciled by QC as arithmetic agreement with its stored components, not re-audited against the original filing. QC coverage differs by check (1,273-1,312 of 1,331 upstream rows evaluable); zero mismatches among evaluable rows says nothing about rows that could not be evaluated."
debt_to_equity,Total liabilities relative to equity at fiscal year t.,numeric,ratio,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,author_compiled_ratio_over_CODAL_line_items,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",total_liabilities / equity. Supplied as a stored ratio in the upstream panel and copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=debt_to_equity :: definition = 'total_liabilities / equity',committed_dictionary,"Supplied as a stored ratio in the upstream panel and reconciled by QC as arithmetic agreement with its stored components, not re-audited against the original filing. QC coverage differs by check (1,273-1,312 of 1,331 upstream rows evaluable); zero mismatches among evaluable rows says nothing about rows that could not be evaluated."
equity,Total equity of the company at fiscal year t.,numeric,million_IRR,predictor_candidate,candidate_inventory_only_pending_part4_sap_not_approved_for_model_entry,M1_upstream_source_panel,provider_CODAL_statement_line_item_compiled_by_the_authors,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",Statement line item compiled by the authors from the annual separate/parent-company CODAL filing. Copied byte-for-byte from the joined Stage123 predictor row for fiscal year t; the Part 3C builder copies this column and never recomputes it.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=equity :: definition = 'Total equity',committed_dictionary,"Nominal monetary level. The study period covers years of high inflation in Iran and no deflation, currency conversion or purchasing-power adjustment was applied; the per-row monetary scale is recorded in the `unit` column. Cross-year comparison of nominal levels is the reuser's responsibility."
